########## 1. M 内部对应对（不含任何研究集端点）##########
[data] N=2241  papers=162
[filter] local-only eligible MSUs: 2241/2241 categories=ALL, min_rank=1
[cand] 3500 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2238/2241 eligible MSUs occur in at least one submitted pair
[v11] it 1400/1500 loss=3.0658 trust=0.941 knnOv=0.345 BZrec@12_2d=nan
[v11] it 1500/1500 loss=3.0722 trust=0.941 knnOv=0.345 BZrec@12_2d=nan

[v11] FINAL trust=0.941 knnOv=0.345 {'n': 0}
[save] data/bio_m/stages/05_model/bio_m_lam0.3_s0.pt
#### seed=1 ####
[v11] N=7656 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=941 test(held-out)=0 | pairs meta=positives are M-internal only; no endpoint in the 12 study p
[P] loaded cache data/bio_m/stages/05_model/tsne_P_perp30.npy
[P] ready (7656, 7656)
[v11] it 0001/1500 loss=7.9358 trust=0.645 knnOv=0.018 BZrec@12_2d=nan
[v11] it 0100/1500 loss=4.7325 trust=0.882 knnOv=0.179 BZrec@12_2d=nan
[v11] it 0200/1500 loss=4.1091 trust=0.914 knnOv=0.265 BZrec@12_2d=nan
[v11] it 0300/1500 loss=3.7652 trust=0.926 knnOv=0.304 BZrec@12_2d=nan
[v11] it 0400/1500 loss=3.5457 trust=0.932 knnOv=0.322 BZrec@12_2d=nan
[v11] it 0500/1500 loss=3.4035 trust=0.934 knnOv=0.329 BZrec@12_2d=nan
[v11] it 0600/1500 loss=3.3111 trust=0.937 knnOv=0.336 BZrec@12_2d=nan
[v11] it 0700/1500 loss=3.2281 trust=0.937 knnOv=0.337 BZrec@12_2d=nan
[v11] it 0800/1500 loss=3.1749 trust=0.938 knnOv=0.340 BZrec@12_2d=nan
[v11] it 0900/1500 loss=3.1201 trust=0.938 knnOv=0.343 BZrec@12_2d=nan
[v11] it 1000/1500 loss=3.0934 trust=0.938 knnOv=0.343 BZrec@12_2d=nan
[v11] it 1100/1500 loss=3.0604 trust=0.939 knnOv=0.343 BZrec@12_2d=nan
[v11] it 1200/1500 loss=3.0299 trust=0.939 knnOv=0.344 BZrec@12_2d=nan
[v11] it 1300/1500 loss=3.0307 trust=0.939 knnOv=0.345 BZrec@12_2d=nan
[v11] it 1400/1500 loss=3.0192 trust=0.939 knnOv=0.345 BZrec@12_2d=nan
[v11] it 1500/1500 loss=3.0194 trust=0.939 knnOv=0.345 BZrec@12_2d=nan

[v11] FINAL trust=0.939 knnOv=0.345 {'n': 0}
[save] data/bio_m/stages/05_model/bio_m_lam0.3_s1.pt
#### seed=2 ####
[v11] N=7656 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=941 test(held-out)=0 | pairs meta=positives are M-internal only; no endpoint in the 12 study p
[P] loaded cache data/bio_m/stages/05_model/tsne_P_perp30.npy
[P] ready (7656, 7656)
[v11] it 0001/1500 loss=7.9359 trust=0.682 knnOv=0.017 BZrec@12_2d=nan
[v11] it 0100/1500 loss=4.7423 trust=0.879 knnOv=0.178 BZrec@12_2d=nan
[v11] it 0200/1500 loss=4.1028 trust=0.915 knnOv=0.265 BZrec@12_2d=nan
[v11] it 0300/1500 loss=3.7653 trust=0.928 knnOv=0.303 BZrec@12_2d=nan
[v11] it 0400/1500 loss=3.5804 trust=0.932 knnOv=0.321 BZrec@12_2d=nan
[v11] it 0500/1500 loss=3.4477 trust=0.936 knnOv=0.330 BZrec@12_2d=nan
[v11] it 0600/1500 loss=3.3433 trust=0.937 knnOv=0.335 BZrec@12_2d=nan
[v11] it 0700/1500 loss=3.2664 trust=0.939 knnOv=0.339 BZrec@12_2d=nan
[v11] it 0800/1500 loss=3.2034 trust=0.938 knnOv=0.340 BZrec@12_2d=nan
[v11] it 0900/1500 loss=3.1614 trust=0.939 knnOv=0.341 BZrec@12_2d=nan
[v11] it 1000/1500 loss=3.1225 trust=0.940 knnOv=0.344 BZrec@12_2d=nan
[v11] it 1100/1500 loss=3.0925 trust=0.940 knnOv=0.344 BZrec@12_2d=nan
[v11] it 1200/1500 loss=3.0672 trust=0.940 knnOv=0.345 BZrec@12_2d=nan
[v11] it 1300/1500 loss=3.0611 trust=0.941 knnOv=0.346 BZrec@12_2d=nan
[v11] it 1400/1500 loss=3.0538 trust=0.941 knnOv=0.346 BZrec@12_2d=nan
[v11] it 1500/1500 loss=3.0532 trust=0.941 knnOv=0.346 BZrec@12_2d=nan

[v11] FINAL trust=0.941 knnOv=0.346 {'n': 0}
[save] data/bio_m/stages/05_model/bio_m_lam0.3_s2.pt
#### 消融: 零对应监督 ####
[v11] N=7656 dim=1024 | lambda_tsne=1.0 lambda_con=0.0
[v11] positives: train=941 test(held-out)=0 | pairs meta=positives are M-internal only; no endpoint in the 12 study p
[P] loaded cache data/bio_m/stages/05_model/tsne_P_perp30.npy
[P] ready (7656, 7656)
[v11] it 0001/1500 loss=5.2555 trust=0.650 knnOv=0.016 BZrec@12_2d=nan
