[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 30000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 3620/30000  kept=1409
[judge] 3630/30000  kept=1411
[judge] 3640/30000  kept=1416
[judge] 3650/30000  kept=1421
[judge] 3660/30000  kept=1426
[judge] 3670/30000  kept=1428
[judge] 3680/30000  kept=1431
[judge] 3690/30000  kept=1435
[judge] 3700/30000  kept=1439
[judge] 3710/30000  kept=1443
[judge] 3720/30000  kept=1448
[judge] 3730/30000  kept=1453
[judge] 3740/30000  kept=1456
[judge] 3750/30000  kept=1461
[judge] 3760/30000  kept=1465
[judge] 3770/30000  kept=1468
[judge] 3780/30000  kept=1470
[judge] 3790/30000  kept=1474
[judge] 3800/30000  kept=1475
[judge] 3810/30000  kept=1478
[judge] 3820/30000  kept=1481
[judge] 3830/30000  kept=1485
[judge] 3840/30000  kept=1488
[judge] 3850/30000  kept=1491
[judge] 3860/30000  kept=1494
[judge] 3870/30000  kept=1496
[judge] 3880/30000  kept=1499
[judge] 3890/30000  kept=1502
[judge] 3900/30000  kept=1504
[judge] 3910/30000  kept=1508
[judge] 3920/30000  kept=1513
[judge] 3930/30000  kept=1517
[judge] 3940/30000  kept=1520
[judge] 3950/30000  kept=1525
[judge] 3960/30000  kept=1528
[judge] 3970/30000  kept=1530
[judge] 3980/30000  kept=1533
[judge] 3990/30000  kept=1537
[judge] 4000/30000  kept=1539
[judge] 4010/30000  kept=1542
[judge] 4020/30000  kept=1546
[judge] 4030/30000  kept=1548
[judge] 4040/30000  kept=1551
[judge] 4050/30000  kept=1553
[judge] 4060/30000  kept=1556
[judge] 4070/30000  kept=1559
[judge] 4080/30000  kept=1562
[judge] 4090/30000  kept=1566
[judge] 4100/30000  kept=1569
[judge] 4110/30000  kept=1571
[judge] 4120/30000  kept=1574
[judge] 4130/30000  kept=1577
[judge] 4140/30000  kept=1579
[judge] 4150/30000  kept=1583
[judge] 4160/30000  kept=1586
[judge] 4170/30000  kept=1591
[judge] 4180/30000  kept=1594
[judge] 4190/30000  kept=1598
[judge] 4200/30000  kept=1603
[judge] 4210/30000  kept=1606
[judge] 4220/30000  kept=1612
[judge] 4230/30000  kept=1617
[judge] 4240/30000  kept=1620
[judge] 4250/30000  kept=1623
[judge] 4260/30000  kept=1625
[judge] 4270/30000  kept=1628
[judge] 4280/30000  kept=1631
[judge] 4290/30000  kept=1634
[judge] 4300/30000  kept=1637
[judge] 4310/30000  kept=1639
[judge] 4320/30000  kept=1643
[judge] 4330/30000  kept=1647
[judge] 4340/30000  kept=1651
[judge] 4350/30000  kept=1654
[judge] 4360/30000  kept=1657
[judge] 4370/30000  kept=1660
[judge] 4380/30000  kept=1664
[judge] 4390/30000  kept=1667
[judge] 4400/30000  kept=1669
[judge] 4410/30000  kept=1673
[judge] 4420/30000  kept=1675
[judge] 4430/30000  kept=1678
[judge] 4440/30000  kept=1681
[judge] 4450/30000  kept=1683
[judge] 4460/30000  kept=1686
[judge] 4470/30000  kept=1689
[judge] 4480/30000  kept=1693
[judge] 4490/30000  kept=1697
[judge] 4500/30000  kept=1699
[judge] 4510/30000  kept=1705
[judge] 4520/30000  kept=1709
[judge] 4530/30000  kept=1711
[judge] 4540/30000  kept=1714
[judge] 4550/30000  kept=1717
[judge] 4560/30000  kept=1719
[judge] 4570/30000  kept=1723
[judge] 4580/30000  kept=1725
[judge] 4590/30000  kept=1729
[judge] 4600/30000  kept=1732
[judge] 4610/30000  kept=1735
[judge] 4620/30000  kept=1739
[judge] 4630/30000  kept=1741
[judge] 4640/30000  kept=1742
[judge] 4650/30000  kept=1745
[judge] 4660/30000  kept=1747
[judge] 4670/30000  kept=1749
[judge] 4680/30000  kept=1752
[judge] 4690/30000  kept=1756
[judge] 4700/30000  kept=1758
[judge] 4710/30000  kept=1760
[judge] 4720/30000  kept=1764
[judge] 4730/30000  kept=1768
[judge] 4740/30000  kept=1770
[judge] 4750/30000  kept=1774
[judge] 4760/30000  kept=1778
