########## 1. 跨论文对应对 ##########
[data] N=2486  papers=107
[filter] local-only eligible MSUs: 2486/2486 categories=ALL, min_rank=1
[cand] 4000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2467/2486 eligible MSUs occur in at least one submitted pair
[v11] it 0900/1500 loss=2.8688 trust=0.913 knnOv=0.342 BZrec@12_2d=0.448
[v11] it 1000/1500 loss=2.8538 trust=0.912 knnOv=0.342 BZrec@12_2d=0.435
[v11] it 1100/1500 loss=2.8318 trust=0.912 knnOv=0.343 BZrec@12_2d=0.445
[v11] it 1200/1500 loss=2.8290 trust=0.912 knnOv=0.342 BZrec@12_2d=0.445
[v11] it 1300/1500 loss=2.8246 trust=0.912 knnOv=0.343 BZrec@12_2d=0.438
[v11] it 1400/1500 loss=2.8147 trust=0.912 knnOv=0.343 BZrec@12_2d=0.441
[v11] it 1500/1500 loss=2.8119 trust=0.912 knnOv=0.343 BZrec@12_2d=0.441

[v11] FINAL trust=0.912 knnOv=0.343 {'n': 299, 'bz_recall@12_2d': 0.4414715719063545, 'bz_recall@12_highD': 0.9096989966555183}
[save] data/survey_agent/stages/05_model/v11_agent_lam0.3_s1.pt
#### lambda_con=0.3 seed=2 ####
[v11] N=2486 dim=1024 | lambda_tsne=1.0 lambda_con=0.3
[v11] positives: train=1199 test(held-out)=299 | pairs meta=pairs are ROW indices into EMB_CACHE; positives are cross-pa
[P] loaded cache data/survey_agent/stages/05_model/tsne_P_perp30.npy
[P] ready (2486, 2486)
[v11] it 0001/1500 loss=6.4678 trust=0.695 knnOv=0.038 BZrec@12_2d=0.067
[v11] it 0100/1500 loss=3.8576 trust=0.880 knnOv=0.264 BZrec@12_2d=0.348
[v11] it 0200/1500 loss=3.4360 trust=0.905 knnOv=0.325 BZrec@12_2d=0.391
[v11] it 0300/1500 loss=3.2138 trust=0.911 knnOv=0.338 BZrec@12_2d=0.448
[v11] it 0400/1500 loss=3.1111 trust=0.914 knnOv=0.342 BZrec@12_2d=0.445
[v11] it 0500/1500 loss=3.0335 trust=0.914 knnOv=0.344 BZrec@12_2d=0.452
[v11] it 0600/1500 loss=2.9717 trust=0.915 knnOv=0.344 BZrec@12_2d=0.452
[v11] it 0700/1500 loss=2.9328 trust=0.915 knnOv=0.344 BZrec@12_2d=0.455
[v11] it 0800/1500 loss=2.9102 trust=0.916 knnOv=0.344 BZrec@12_2d=0.455
[v11] it 0900/1500 loss=2.8834 trust=0.915 knnOv=0.343 BZrec@12_2d=0.452
[v11] it 1000/1500 loss=2.8730 trust=0.914 knnOv=0.343 BZrec@12_2d=0.455
[v11] it 1100/1500 loss=2.8589 trust=0.914 knnOv=0.343 BZrec@12_2d=0.452
[v11] it 1200/1500 loss=2.8519 trust=0.914 knnOv=0.342 BZrec@12_2d=0.452
[v11] it 1300/1500 loss=2.8459 trust=0.914 knnOv=0.343 BZrec@12_2d=0.455
[v11] it 1400/1500 loss=2.8481 trust=0.914 knnOv=0.343 BZrec@12_2d=0.452
[v11] it 1500/1500 loss=2.8488 trust=0.914 knnOv=0.343 BZrec@12_2d=0.452

[v11] FINAL trust=0.914 knnOv=0.343 {'n': 299, 'bz_recall@12_2d': 0.451505016722408, 'bz_recall@12_highD': 0.9096989966555183}
[save] data/survey_agent/stages/05_model/v11_agent_lam0.3_s2.pt
########## 3. 冻结迁移评测 ##########
生信评测集: N=5415  12 篇  留出对=403  k=12  随机基线≈0.0022

/Users/yudong/.pyenv/versions/3.10.14/lib/python3.10/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
方法                                 |  trust  knnOv@12  Co-loc@12   hexAdj
----------------------------------------------------------------------------
Ours-survey (zero-shot, 同领域)       |  0.757     0.067      0.114    0.285
Ours-v11 air (zero-shot, 跨领域)      |  0.717     0.043      0.047    0.266
PCA.transform (survey fit)         |  0.689     0.029      0.037    0.077
UMAP.transform (survey fit)        |  0.731     0.040      0.062    0.218
[参照] 生信重拟合                         |  0.939     0.358      0.474    0.613

高维天花板 bz_recall@12_highD = 0.598 (编码器空间中本就 12-近邻的比例)

========================================================================================
逐篇 Co-loc@12（检验训练语料缺 LLM 语义是否造成系统性劣势）
========================================================================================
论文                                             对数   LLM%      迁移     重拟合     追回率
----------------------------------------------------------------------------------------
AuraGenome_An_LLM-Powered_Framework_for_On    107  19.6%   0.065   0.393    17%
CGView.js Circular Genome Visualization in     17   2.3%   0.118   0.529    22%
Circos an Information Aesthetic for Compar     51   0.0%   0.196   0.412    48%
Computer Graphics Forum - 2024 - Ståhlbom      82   0.2%   0.195   0.610    32%
GenoREC_A_Recommendation_System_for_Intera    130   0.0%   0.146   0.523    28%
GlyphCreator_Towards_Example-based_Automat     66   0.3%   0.061   0.379    16%
Gosling                                       121   0.0%   0.124   0.430    29%
HERA Interactive Circular Comparison of Pl     41   0.4%   0.000   0.366     0%
IntelliCircos                                 127   7.2%   0.102   0.559    18%
NG-Circos Next-generation Circos for Data      25   0.0%   0.120   0.480    25%
bioinformatics_32_11_1740                      26   0.0%   0.115   0.462    25%

LLM 语义占比 vs 迁移追回率  相关系数 r = -0.265
  LLM 重的论文(2篇) 追回率 17%   其余(9篇) 25%

saved -> results/agent_transfer.json
AGENT_CHAIN_DONE
