[data] N=1770  papers=73
[filter] local-only eligible MSUs: 1770/1770 categories=ALL, min_rank=1
[cand] 3000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 1768/1770 eligible MSUs occur in at least one submitted pair
[judge] 2830/3000  kept=1045
[judge] 2840/3000  kept=1047
[judge] 2850/3000  kept=1048
[judge] 2860/3000  kept=1049
[judge] 2870/3000  kept=1051
[judge] 2880/3000  kept=1052
[judge] 2890/3000  kept=1054
[judge] 2900/3000  kept=1055
[judge] 2910/3000  kept=1056
[judge] 2920/3000  kept=1056
[judge] 2930/3000  kept=1056
[judge] 2940/3000  kept=1058
[judge] 2950/3000  kept=1059
[judge] 2960/3000  kept=1060
[judge] 2970/3000  kept=1060
[judge] 2980/3000  kept=1060
[judge] 2990/3000  kept=1062
[judge] 3000/3000  kept=1063
[pos] 1063 positive cross-paper pairs
[save] data/survey_genomics/stages/02_msu/llm_pairs.json  train_pos=851  test_pos=212
